"","choice","Camera","num"
"1","BOBCAT",11,1
"2","COYOTE",4,2
"3","COYOTE",14,1
"4","COYOTE",15,2
"5","COYOTE",18,1
"6","COYOTE",22,4
"7","COYOTE",23,1
"8","COYOTE",25,1
"9","COYOTE",32,1
"10","COYOTE",33,2
"11","FISHER",11,1
"12","FISHER",18,2
"13","FISHER",22,10
"14","FISHER",28,1
"15","FISHER",29,1
"16","FISHER",32,1
"17","FISHER",33,2
"18","FOXRED",14,2
"19","FOXRED",21,4
"20","FOXRED",22,1
"21","FOXRED",23,1
"22","FOXRED",25,2
"23","FOXRED",32,1
"24","RACCOON",14,2
"25","RACCOON",17,2
"26","RACCOON",18,4
"27","RACCOON",23,1
"28","WEASEL",11,1
