"","X1","SourceFile","FileName","FileSize","Model","DateTimeOriginal","ImageSize","FocalLength","ShutterSpeed","Aperture","ISO","WhiteBalance","Flash","Sort","Firstpart"
"1",1025,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0001.JPG","27_08_IMG_0001.JPG","862 kB","BTC5HDP","12/13/17 13:49","2000x1111","42.0 mm","1/1798",2.4,100,"Unknown (288)","Auto, Did not fire","12/13/17 13:49","27_08_IM"
"2",1026,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0002.JPG","27_08_IMG_0002.JPG","856 kB","BTC5HDP","12/13/17 13:49","2000x1111","42.0 mm","1/1218",2.4,100,"Unknown (288)","Auto, Did not fire","12/13/17 13:49","27_08_IM"
"3",1027,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0003.JPG","27_08_IMG_0003.JPG","809 kB","BTC5HDP","12/13/17 13:49","2000x1111","42.0 mm","1/1512",2.4,100,"Unknown (288)","Auto, Did not fire","12/13/17 13:49","27_08_IM"
"4",1028,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0004.JPG","27_08_IMG_0004.JPG","757 kB","BTC5HDP","12/16/17 20:51","2000x1111","42.0 mm","20-Jan",2.4,1600,"Unknown (288)","Auto, Fired","12/16/17 20:51","27_08_IM"
"5",1029,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0005.JPG","27_08_IMG_0005.JPG","739 kB","BTC5HDP","12/16/17 20:51","2000x1111","42.0 mm","20-Jan",2.4,400,"Unknown (288)","Auto, Fired","12/16/17 20:51","27_08_IM"
"6",1030,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0006.JPG","27_08_IMG_0006.JPG","729 kB","BTC5HDP","12/16/17 20:51","2000x1111","42.0 mm","20-Jan",2.4,400,"Unknown (288)","Auto, Fired","12/16/17 20:51","27_08_IM"
"7",1031,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0007.JPG","27_08_IMG_0007.JPG","777 kB","BTC5HDP","12/17/17 22:15","2000x1111","42.0 mm","20-Jan",2.4,400,"Unknown (288)","Auto, Fired","12/17/17 22:15","27_08_IM"
"8",1032,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0008.JPG","27_08_IMG_0008.JPG","733 kB","BTC5HDP","12/17/17 22:15","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/17/17 22:15","27_08_IM"
"9",1033,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0009.JPG","27_08_IMG_0009.JPG","837 kB","BTC5HDP","12/17/17 22:16","2000x1111","42.0 mm","20-Jan",2.4,100,"Unknown (288)","Auto, Fired","12/17/17 22:16","27_08_IM"
"10",1034,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0010.JPG","27_08_IMG_0010.JPG","850 kB","BTC5HDP","12/20/17 13:16","2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","12/20/17 13:16","27_08_IM"
"11",1035,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0011.JPG","27_08_IMG_0011.JPG","836 kB","BTC5HDP","12/20/17 13:16","2000x1111","42.0 mm","1/535",2.4,100,"Unknown (288)","Auto, Did not fire","12/20/17 13:16","27_08_IM"
"12",1036,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0012.JPG","27_08_IMG_0012.JPG","836 kB","BTC5HDP","12/20/17 13:16","2000x1111","42.0 mm","1/535",2.4,100,"Unknown (288)","Auto, Did not fire","12/20/17 13:16","27_08_IM"
"13",1037,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0013.JPG","27_08_IMG_0013.JPG","863 kB","BTC5HDP","12/20/17 13:19","2000x1111","42.0 mm","1/480",2.4,100,"Unknown (288)","Auto, Did not fire","12/20/17 13:19","27_08_IM"
"14",1038,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0014.JPG","27_08_IMG_0014.JPG","857 kB","BTC5HDP","12/20/17 13:19","2000x1111","42.0 mm","1/512",2.4,100,"Unknown (288)","Auto, Did not fire","12/20/17 13:19","27_08_IM"
"15",1039,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0015.JPG","27_08_IMG_0015.JPG","857 kB","BTC5HDP","12/20/17 13:19","2000x1111","42.0 mm","1/512",2.4,100,"Unknown (288)","Auto, Did not fire","12/20/17 13:19","27_08_IM"
"16",1040,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0016.JPG","27_08_IMG_0016.JPG","859 kB","BTC5HDP","12/20/17 22:53","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/20/17 22:53","27_08_IM"
"17",1041,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0017.JPG","27_08_IMG_0017.JPG","873 kB","BTC5HDP","12/20/17 22:53","2000x1111","42.0 mm","20-Jan",2.4,100,"Unknown (288)","Auto, Fired","12/20/17 22:53","27_08_IM"
"18",1042,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0018.JPG","27_08_IMG_0018.JPG","806 kB","BTC5HDP","12/20/17 22:53","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/20/17 22:53","27_08_IM"
"19",1043,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0019.JPG","27_08_IMG_0019.JPG","845 kB","BTC5HDP","12/20/17 22:54","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/20/17 22:54","27_08_IM"
"20",1044,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0020.JPG","27_08_IMG_0020.JPG","863 kB","BTC5HDP","12/20/17 22:54","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/20/17 22:54","27_08_IM"
"21",1045,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0021.JPG","27_08_IMG_0021.JPG","863 kB","BTC5HDP","12/20/17 22:54","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/20/17 22:54","27_08_IM"
"22",1046,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0022.JPG","27_08_IMG_0022.JPG","873 kB","BTC5HDP","12/21/17 0:45","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/21/17 0:45","27_08_IM"
"23",1047,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0023.JPG","27_08_IMG_0023.JPG","706 kB","BTC5HDP","12/21/17 0:45","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/21/17 0:45","27_08_IM"
"24",1048,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0024.JPG","27_08_IMG_0024.JPG","710 kB","BTC5HDP","12/21/17 0:45","2000x1111","42.0 mm","20-Jan",2.4,200,"Unknown (288)","Auto, Fired","12/21/17 0:45","27_08_IM"
"25",1049,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0025.JPG","27_08_IMG_0025.JPG","754 kB","BTC5HDP","12/31/17 18:16","2000x1111","42.0 mm","20-Jan",2.4,1600,"Unknown (288)","Auto, Fired","12/31/17 18:16","27_08_IM"
"26",1050,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0026.JPG","27_08_IMG_0026.JPG","760 kB","BTC5HDP","12/31/17 18:16","2000x1111","42.0 mm","20-Jan",2.4,400,"Unknown (288)","Auto, Fired","12/31/17 18:16","27_08_IM"
"27",1051,"/Volumes/NoCoWild/UseTheseOnes 2019/Round 1/All/27_08_IMG_0027.JPG","27_08_IMG_0027.JPG","724 kB","BTC5HDP","12/31/17 18:16","2000x1111","42.0 mm","20-Jan",2.4,400,"Unknown (288)","Auto, Fired","12/31/17 18:16","27_08_IM"
